Temperatura,Humedad,Fecha
26,56,2026-03-02 22:44:26
25.40,41.00,2026-03-02 22:44:57
25.30,40.00,2026-03-02 22:45:00
25.90,40.00,2026-03-02 22:45:03
25.60,40.00,2026-03-02 22:45:06
25.60,40.00,2026-03-02 22:45:09
25.80,40.00,2026-03-02 22:45:12
25.50,40.00,2026-03-02 22:45:15
25.30,40.00,2026-03-02 22:45:19
25.10,41.00,2026-03-02 22:45:22
25.80,40.00,2026-03-02 22:45:25
25.40,41.00,2026-03-02 22:45:29
25.90,41.00,2026-03-02 22:45:32
25.70,41.00,2026-03-02 22:45:35
25.90,41.00,2026-03-02 22:45:38
25.50,40.00,2026-03-02 22:45:41
25.30,40.00,2026-03-02 22:45:45
25.20,40.00,2026-03-02 22:45:48
25.00,40.00,2026-03-02 22:45:51
25.80,40.00,2026-03-02 22:45:54
25.80,40.00,2026-03-02 22:45:57
25.70,40.00,2026-03-02 22:46:00
25.70,40.00,2026-03-02 22:46:04
25.60,40.00,2026-03-02 22:46:07
25.00,40.00,2026-03-02 22:46:10
25.30,40.00,2026-03-02 22:46:13
25.40,40.00,2026-03-02 22:46:54
25.60,40.00,2026-03-02 22:46:57
25.80,40.00,2026-03-02 22:47:01
25.80,40.00,2026-03-02 22:47:04
25.50,40.00,2026-03-02 22:47:07
25.80,40.00,2026-03-02 22:47:10
25.80,40.00,2026-03-02 22:47:14
25.90,40.00,2026-03-02 22:47:17
25.60,40.00,2026-03-02 22:47:20
25.30,40.00,2026-03-02 22:47:23
25.30,40.00,2026-03-02 22:47:26
25.90,40.00,2026-03-02 22:47:30
25.70,40.00,2026-03-02 22:47:33
25.10,40.00,2026-03-02 22:47:36
25.30,40.00,2026-03-02 22:47:39
25.10,40.00,2026-03-02 22:47:42
25.40,40.00,2026-03-02 22:47:45
25.50,40.00,2026-03-02 22:47:48
25.30,40.00,2026-03-02 22:47:52
25.30,40.00,2026-03-02 22:47:55
25.00,40.00,2026-03-02 22:47:58
25.80,40.00,2026-03-02 22:48:01
25.80,40.00,2026-03-02 22:48:04
25.00,40.00,2026-03-02 22:48:07
25.50,40.00,2026-03-02 22:48:10
25.00,40.00,2026-03-02 22:48:20
25.20,40.00,2026-03-02 22:48:23
25.30,40.00,2026-03-02 22:48:27
25.30,40.00,2026-03-02 22:48:30
25.00,40.00,2026-03-02 22:48:33
25.40,40.00,2026-03-02 22:48:36
25.00,40.00,2026-03-02 22:48:39
25.10,40.00,2026-03-02 22:48:42
25.50,40.00,2026-03-02 22:48:46
25.70,40.00,2026-03-02 22:48:49
25.10,40.00,2026-03-02 22:48:52
25.70,40.00,2026-03-02 22:48:55
25.60,40.00,2026-03-02 22:48:58
25.40,41.00,2026-03-02 22:49:01
25.90,56.00,2026-03-02 22:49:04
25.20,54.00,2026-03-02 22:49:07
25.50,49.00,2026-03-02 22:49:11
25.30,47.00,2026-03-02 22:49:14
25.00,45.00,2026-03-02 22:49:17
25.50,45.00,2026-03-02 22:49:20
25.30,43.00,2026-03-02 22:49:23
25.40,43.00,2026-03-02 22:49:27
25.50,43.00,2026-03-02 22:49:30
25.00,42.00,2026-03-02 22:49:33
25.30,42.00,2026-03-02 22:49:36
25.90,42.00,2026-03-02 22:49:39
25.30,42.00,2026-03-02 22:49:43
25.80,42.00,2026-03-02 22:49:46
25.90,42.00,2026-03-02 22:49:49
25.40,42.00,2026-03-02 22:49:52
25.70,42.00,2026-03-02 22:49:55
25.90,42.00,2026-03-02 22:49:58
25.90,42.00,2026-03-02 22:50:02
25.30,42.00,2026-03-02 22:50:05
25.50,41.00,2026-03-02 22:50:08
25.10,41.00,2026-03-02 22:50:11
25.70,41.00,2026-03-02 22:50:15
25.00,41.00,2026-03-02 22:50:18
25.10,41.00,2026-03-02 22:50:21
25.40,41.00,2026-03-02 22:50:24
25.00,41.00,2026-03-02 22:50:27
25.90,41.00,2026-03-02 22:50:30
25.10,41.00,2026-03-02 22:50:34
25.10,41.00,2026-03-02 22:50:37
25.90,41.00,2026-03-02 22:50:40
25.50,41.00,2026-03-02 22:50:43
25.40,41.00,2026-03-02 22:50:46
25.80,41.00,2026-03-02 22:50:50
25.30,41.00,2026-03-02 22:50:53
